# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 15K of event 'cpu-clock'
# Event count (approx.): 15082082067
#
# Overhead  Symbol                                                 IPC   [IPC Coverage]
# ........  .....................................................  ....................
#
     0.05%  [.] resolve_slotdups                                   -      -            
     0.05%  [.] unicode_dealloc.lto_priv.0                         -      -            
     0.05%  [k] 0xffffffff82986ef7                                 -      -            
     0.05%  [.] PyArg_ParseTuple                                   -      -            
     0.05%  [.] PyList_Append                                      -      -            
     0.05%  [.] PyObject_IsTrue                                    -      -            
     0.05%  [.] _PyLong_New                                        -      -            
     0.05%  [.] _PyObject_GC_Malloc                                -      -            
     0.05%  [.] _PyObject_LookupAttr                               -      -            
     0.05%  [.] allocate_from_new_pool                             -      -            
     0.05%  [.] binary_iop1                                        -      -            
     0.05%  [.] builtin_sum                                        -      -            
     0.05%  [.] delitem_common                                     -      -            
     0.05%  [.] func_traverse.lto_priv.0                           -      -            
     0.05%  [.] getset_get.lto_priv.0                              -      -            
     0.05%  [.] list_resize                                        -      -            
     0.05%  [.] malloc                                             -      -            
     0.05%  [.] map_next.lto_priv.0                                -      -            
     0.05%  [.] method_vectorcall                                  -      -            
     0.05%  [.] new_dict                                           -      -            
     0.05%  [.] property_descr_get.lto_priv.0                      -      -            
     0.05%  [.] r_long                                             -      -            
     0.05%  [.] tuplesubscript.lto_priv.0                          -      -            
     0.05%  [.] type_is_gc.lto_priv.0                              -      -            
     0.05%  [k] 0xffffffff82d5290d                                 -      -            
     0.04%  [.] PyLong_AsLongAndOverflow                           -      -            
     0.04%  [.] PyObject_Size                                      -      -            
     0.04%  [.] _PyDict_Next                                       -      -            
     0.04%  [.] _PyObjectDict_SetItem                              -      -            
     0.04%  [.] _PyTuple_MaybeUntrack                              -      -            
     0.04%  [.] _PyUnicode_EqualToASCIIString                      -      -            
     0.04%  [.] dictiter_iternextitem.lto_priv.0                   -      -            
     0.04%  [.] float_richcompare.lto_priv.0                       -      -            
     0.04%  [.] func_dealloc.lto_priv.0                            -      -            
     0.04%  [.] gc_collect_main                                    -      -            
     0.04%  [.] get_dict_state                                     -      -            
     0.04%  [.] get_latin1_char.lto_priv.0                         -      -            
     0.04%  [.] long_div.lto_priv.0                                -      -            
     0.04%  [.] long_mul.lto_priv.0                                -      -            
     0.04%  [.] math_gcd                                           -      -            
     0.04%  [.] meth_dealloc.lto_priv.0                            -      -            
     0.04%  [.] pysiphash                                          -      -            
     0.04%  [.] r_string                                           -      -            
     0.04%  [.] slotptr                                            -      -            
     0.04%  [.] subtract_refs                                      -      -            
     0.04%  [.] super_dealloc.lto_priv.0                           -      -            
     0.04%  [.] unpack_stack                                       -      -            
     0.04%  [.] untrack_dicts                                      -      -            
     0.04%  [.] visit_reachable.lto_priv.0                         -      -            
     0.04%  [k] 0xffffffff82d5e8e5                                 -      -            
     0.04%  [.] 0x00000000001acf2b                                 -      -            
     0.04%  [.] 0x00000000001c2e6e                                 -      -            
     0.04%  [.] 0x00000000001c2e81                                 -      -            
     0.03%  [.] PyCode_NewWithPosOnlyArgs                          -      -            
     0.03%  [.] PyLong_AsSsize_t                                   -      -            
     0.03%  [.] PyNumber_Add                                       -      -            
     0.03%  [.] PyNumber_InPlaceAdd                                -      -            
     0.03%  [.] PyObject_GenericGetAttr                            -      -            
     0.03%  [.] PySlice_AdjustIndices                              -      -            
     0.03%  [.] PyUnicode_RichCompare                              -      -            
     0.03%  [.] _PyBytes_FromSize.lto_priv.0                       -      -            
     0.03%  [.] _PyEval_EvalFrameDefault                           -      -            
     0.03%  [.] _PyEval_SliceIndex                                 -      -            
     0.03%  [.] _PyMem_DebugRawRealloc                             -      -            
     0.03%  [.] _PyModule_ClearDict                                -      -            
     0.03%  [.] _PyPegen_insert_memo                               -      -            
     0.03%  [.] _PyStack_UnpackDict                                -      -            
     0.03%  [.] _PyUnicode_JoinArray                               -      -            
     0.03%  [.] all_name_chars                                     -      -            
     0.03%  [.] binary_op                                          -      -            
     0.03%  [.] build_indices                                      -      -            
     0.03%  [.] convertitem                                        -      -            
     0.03%  [.] defdict_missing.lto_priv.0                         -      -            
     0.03%  [.] excess_args                                        -      -            
     0.03%  [.] gc_list_move                                       -      -            
     0.03%  [.] listiter_dealloc.lto_priv.0                        -      -            
     0.03%  [.] make_coro                                          -      -            
     0.03%  [.] member_set.lto_priv.0                              -      -            
     0.03%  [.] r_byte                                             -      -            
     0.03%  [.] slot_nb_add                                        -      -            
     0.03%  [.] sm_descr_get.lto_priv.0                            -      -            
     0.03%  [.] supercheck                                         -      -            
     0.03%  [.] tok_get                                            -      -            
     0.03%  [.] type_vectorcall.lto_priv.0                         -      -            
     0.03%  [.] unicode_eq                                         -      -            
     0.03%  [.] 0x00000000001acec9                                 -      -            
     0.03%  [.] 0x00000000001c2e8f                                 -      -            
     0.03%  [.] OPENSSL_sk_value                                   -      -            
     0.03%  [.] PyImport_ImportModuleLevelObject                   -      -            
     0.03%  [.] PyIter_Check                                       -      -            
     0.03%  [.] PyMem_Free                                         -      -            
     0.03%  [.] PyNumber_AsSsize_t                                 -      -            
     0.03%  [.] PyNumber_Index                                     -      -            
     0.03%  [.] _PyArena_Malloc                                    -      -            
     0.03%  [.] _PyDict_MaybeUntrack                               -      -            
     0.03%  [.] _PyErr_NormalizeException                          -      -            
     0.03%  [.] _PyObject_LookupSpecial                            -      -            
     0.03%  [.] _PyObject_New                                      -      -            
     0.03%  [.] _PyPegen_expect_token                              -      -            
     0.03%  [.] _PyTuple_ClearFreeList                             -      -            
     0.03%  [.] _PyUnicode_FromUCS1.lto_priv.0                     -      -            
     0.03%  [.] add_operators.lto_priv.0                           -      -            
     0.03%  [.] ascii_decode.lto_priv.0                            -      -            
     0.03%  [.] builtin_isinstance                                 -      -            
     0.03%  [.] cfunction_vectorcall_NOARGS.lto_priv.0             -      -            
     0.03%  [.] compare_op_bitwise_or_pair_rule.lto_priv.0         -      -            
     0.03%  [.] findchar.lto_priv.0                                -      -            
     0.03%  [.] func_descr_get.lto_priv.0                          -      -            
     0.03%  [.] get_float_state                                    -      -            
     0.03%  [.] meth_traverse.lto_priv.0                           -      -            
     0.03%  [.] method_dealloc.lto_priv.0                          -      -            
     0.03%  [.] method_get.lto_priv.0                              -      -            
     0.03%  [.] module_getattro.lto_priv.0                         -      -            
     0.03%  [.] object_init.lto_priv.0                             -      -            
     0.03%  [.] resize_compact.lto_priv.0                          -      -            
     0.03%  [.] sem_trywait@@GLIBC_2.34                            -      -            
     0.03%  [.] set_contains_key                                   -      -            
     0.03%  [.] set_dealloc.lto_priv.0                             -      -            
