# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 621K of event 'cpu-clock'
# Event count (approx.): 621702702081
#
# Overhead  Symbol                                                 IPC   [IPC Coverage]
# ........  .....................................................  ....................
#
     0.01%  [.] builtin_len                                        -      -            
     0.01%  [.] subtract_refs                                      -      -            
     0.01%  [.] find_name_in_mro.lto_priv.0                        -      -            
     0.01%  [.] find_empty_slot                                    -      -            
     0.01%  [.] zip_next.lto_priv.0                                -      -            
     0.01%  [.] PyObject_Size                                      -      -            
     0.01%  [.] _PyObject_VectorcallTstate                         -      -            
     0.01%  [.] rangeiter_next.lto_priv.0                          -      -            
     0.01%  [.] _PyObject_LookupSpecial                            -      -            
     0.01%  [k] 0xffffffff82d5e8e5                                 -      -            
     0.01%  [.] _PyObject_GetDictPtr                               -      -            
     0.01%  [.] list_traverse.lto_priv.0                           -      -            
     0.01%  [.] map_dealloc.lto_priv.0                             -      -            
     0.01%  [.] unsafe_tuple_compare                               -      -            
     0.01%  [.] dict_traverse.lto_priv.0                           -      -            
     0.01%  [.] set_contains_entry                                 -      -            
     0.01%  [.] dict_pop.lto_priv.0                                -      -            
     0.01%  [.] _PyDict_Pop                                        -      -            
     0.01%  [.] builtin_min                                        -      -            
     0.01%  [.] list_sort_impl                                     -      -            
     0.01%  [.] descr_check.lto_priv.0                             -      -            
     0.01%  [.] r_object                                           -      -            
     0.01%  [.] untrack_dicts                                      -      -            
     0.01%  [.] _PyGen_Finalize                                    -      -            
     0.01%  [.] map_vectorcall.lto_priv.0                          -      -            
     0.01%  [.] _PyMem_DebugRealloc                                -      -            
     0.01%  [.] malloc                                             -      -            
     0.01%  [.] _PyObject_GC_NewVar                                -      -            
     0.01%  [.] list_extend.lto_priv.0                             -      -            
     0.01%  [.] defdict_missing.lto_priv.0                         -      -            
     0.01%  [.] binarysort                                         -      -            
     0.01%  [.] pymalloc_realloc                                   -      -            
     0.01%  [.] type_call.lto_priv.0                               -      -            
     0.01%  [.] PyDescr_IsData                                     -      -            
     0.01%  [.] dictiter_dealloc.lto_priv.0                        -      -            
     0.01%  [.] method_vectorcall_FASTCALL                         -      -            
     0.01%  [.] PyList_New                                         -      -            
     0.01%  [.] PyLong_FromSsize_t                                 -      -            
     0.01%  [.] float_vectorcall.lto_priv.0                        -      -            
     0.01%  [.] _PyArg_CheckPositional                             -      -            
     0.01%  [.] method_vectorcall_NOARGS                           -      -            
     0.01%  [.] siphash24                                          -      -            
     0.01%  [.] _int_free                                          -      -            
     0.01%  [.] get_dict_state                                     -      -            
     0.01%  [.] _PyObject_GC_Resize                                -      -            
     0.01%  [.] PyUnicode_New                                      -      -            
     0.01%  [.] allocate_from_new_pool                             -      -            
     0.01%  [.] PyNumber_Negative                                  -      -            
     0.01%  [.] PyUnicode_RichCompare                              -      -            
     0.00%  [.] PyObject_GenericGetAttr                            -      -            
     0.00%  [.] _PyObject_HasLen                                   -      -            
     0.00%  [.] _int_malloc                                        -      -            
     0.00%  [.] zip_new.lto_priv.0                                 -      -            
     0.00%  [.] _PyEval_SliceIndex                                 -      -            
     0.00%  [.] PyObject_LengthHint                                -      -            
     0.00%  [.] PyTuple_Pack                                       -      -            
     0.00%  [.] lookdict_index                                     -      -            
     0.00%  [.] method_vectorcall_O                                -      -            
     0.00%  [.] dictresize                                         -      -            
     0.00%  [.] PyUnicode_InternInPlace                            -      -            
     0.00%  [.] set_add_entry                                      -      -            
     0.00%  [.] slice_dealloc.lto_priv.0                           -      -            
     0.00%  [.] PyMem_Realloc                                      -      -            
     0.00%  [.] PyNumber_FloorDivide                               -      -            
     0.00%  [.] PyObject_Realloc                                   -      -            
     0.00%  [.] _PyObject_Calloc                                   -      -            
     0.00%  [.] _PyType_LookupId                                   -      -            
